Year,Area,ST 2,STrange HTML
2012,NA,"Car Park, Kenilworth Court, Wheelwright Rd",
2011,Wolverhampton,"Car Park, New Cross Hospital, Wolverhampton",
2012,NA,"Car Park, Shire Oak Ph, Lichfield Rd",
2012,NA,"Car Park Reddicap Tavern, Hollyfield Rd, Falcon Lodge",
2012,NA,"Car Park Royal Oak, Compton Rd",
2012,NA,"Car Park Shire Oak Public House, Chester Rd, Brownhills",
2012,Wolverhampton,"Carpark Of Mount Hotel, Tettenhall, Wolverhampton",
2012,Birmingham,"Carrs Ln, Birmingham",
2012,NA,"Carrs Ln, City Centre.",
2012,NA,"Carrs Ln, City Centre.",
2012,NA,"Carrs Ln, City Centre.",
2012,NA,"Carrs Ln, City Centre.",
2012,NA,"Carrs Ln, City Centre.",
2012,NA,"Carrs Ln, City Centre.",
2012,NA,"Carrs Ln, City Centre.",
2012,NA,"Carrs Ln, City Centre.",
2011,NA,"Carters Green, West Bromwich",
2012,NA,"Carters Green, West Bromwich",
2012,NA,"Carters Green, West Bromwich",
2012,NA,"Carters Green, West Bromwich",
2012,Dudley,"Castle Hill, Dudley",
2012,Dudley,"Castle Hill, Dudley",
2012,Wolverhampton,"Castle St, Wolverhampton",
2012,Wolverhampton,"Castle St, Wolverhampton",
2012,Wolverhampton,"Castle Yard, City Centre, Wolverhampton",
2012,NA,"Cemetary Rd, Willenhall",
2011,NA,"Central Ave, Tipton",
2012,NA,"Chace Ave Police Staion, Front Office.",
2012,Birmingham,"Chamberlain Square, Birmingham",
2012,Birmingham,"Chamberlain Square, Birmingham",
2012,Birmingham,"Chamberlain Square, Birmingham",
2012,NA,"Chamberlain Square, City Centre",
2012,Wolverhampton,"Chapel Ash, Wolverhampton",
2012,Wolverhampton,"Chapel Ash, Wolverhampton",
2012,NA,"Chapel St, Oldbury",
2011,NA,"Chelmsley Rd, Chelmsley Wood",
2011,NA,"Chelmsley Rd, Chelmsley Wood",
2012,NA,"Chesterfield Grove, Pype Hayes",
2012,NA,"Chester Rd, Castlebromwich",
2011,NA,"Chester Rd, Halls Garden Centre",
2012,NA,"Chester Rd, Kingshurst",
2012,Wolverhampton,"Chester St, Wolverhampton",
2011,Coventry,"Cheveral Ave, Coventry",
2011,NA,"Chinbrook Rd, Billsley",
2012,NA,"Chip Shop, Great Bridge Tipton",
2011,NA,"Church Rd, Stechford",
2012,NA,"Church Rd, Edgbaston",
2012,NA,"Church Rd, Erdington",
2012,NA,"Church Rd, Moseley",
2012,NA,"Church Rd, Pelsall",
2011,NA,"Church Rd, Sheldon",
2012,NA,"Church Rd, Yardley",
2012,NA,"Church Rd, Yardley",
2012,NA,"Church Rd, Yew Tree",
2012,NA,"Church St, B Hill",
2012,NA,"Church St, Stourbridge",
2011,NA,"Church St, Bilston",
2011,NA,"Church St, Bilston",
2012,NA,"Church St, Oldbury",
2012,Solihuil,"Churchill Rd, Solihull",
2011,Dudley,"City Hospita,Dudley Rd",
2012,Dudley,"City Hospital,Dudley Rd",
2011,Birmingham,"City Hospital, Birmingham",
2011,Birmingham,"City Hospital, Birmingham",
2012,Birmingham,"City Hospital, Birmingham",
2012,Birmingham,"City Hospital, Birmingham",
2012,Birmingham,"City Hospital, Birmingham",
2012,Dudley,"City Hospital, Dudley Rd",
2011,Birmingham,"City Rd, Birmingham",
2012,NA,"Cleveland St, Wolves",
2011,Coventry,"Clifton St ,Coventry.",
2011,NA,"Clock Public House, Clock Ln",
2011,NA,"Co•__•Op, High St, Wednesfield, Wton",
2011,NA,"Coalway Rd, Wton",
2011,NA,"College Rd, Kingstanding, B'Ham",
2011,NA,"College Rd, Kingstanding, B'Ham",
2012,NA,"Collins St, West Bromwich",
2012,NA,"Collins St, West Bromwich",
2011,Birmingham,"Colmore Row, Birmingham",
2011,Birmingham,"Colmore Row, Birmingham.",
2012,NA,"Colmore Row, City Centre",
2011,NA,"Colonial Rd, Bordesley Green`",
2012,NA,"Colthom Rd, Willenhall",
2011,Coventry,"Communal Landing At George Poole House, Coventry",
2011,NA,"Compton Rd, Cradley Heath",
2012,NA,"Connaught Hotel, Tettenhall Rd",
2011,Birmingham,"Constitution Hill, Birmingham",
2012,NA,"Cooks Ln, Chelmsley Wood",
2012,NA,"Coopers Rd, Handsworth",
2011,NA,"Copshill Court, Mount View, Sutton Coldfield",
2011,NA,"Copt Heath Drive, Knowle",
2012,NA,"Coral Bookmakers, High St, Smethwick",
2012,NA,"Coral Bookmakers, Smethwick High St.",
2012,NA,"Coral Bookmakers, Smethwick High St.",
2012,NA,"Coral Bookmakers, Smethwick High St.",
